pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Metabolism,Reactome,3,GLS;IVD;ACSS2,1427 (1485),0.505,1,26,C00077;C00158;C00116;C00366;C00385;C00170;C01835;C00245;C00836;C00180;C00315;C00041;C00047;C00106;C00148;C00791;C00020;C00025;C00197;C00097;C00327;C00130;C00135;C03546;C00989;C00346,808 (1017),3.54E-13,8.03E-10,5.43E-12,5.61E-09
Transmembrane transport of small molecules,Reactome,0,,594 (623),1,1,16,C00077;C00106;C00116;C00148;C00245;C00158;C00791;C00020;C00025;C00097;C01571;C00366;C00315;C00041;C00047;C00135,204 (216),4.50E-13,8.03E-10,1.32E-11,6.85E-09
Metabolism of amino acids and derivatives,Reactome,2,IVD;GLS,145 (152),0.0292,1,14,C00077;C00148;C00245;C00791;C00020;C00197;C00025;C00170;C00097;C00315;C00327;C00041;C00047;C00135,181 (190),2.62E-11,1.87E-08,2.21E-11,7.61E-09
Metabolism of amino acids and derivatives,Wikipathways,0,,0 (0),1,1,14,C00077;C00148;C00245;C00791;C00020;C00197;C00025;C00170;C00097;C00315;C00327;C00041;C00047;C00135,174 (187),1.52E-11,1.36E-08,1.52E-11,1.36E-08
SLC-mediated transmembrane transport,Reactome,0,,261 (265),1,1,14,C00077;C00106;C00148;C00135;C00245;C00158;C00791;C00025;C00097;C01571;C00315;C00041;C00047;C00366,160 (165),4.77E-12,5.68E-09,1.29E-10,3.34E-08
Central carbon metabolism in cancer - Homo sapiens (human),KEGG,1,GLS,66 (67),0.116,1,8,C00158;C00148;C00031;C00197;C00025;C00097;C00041;C00135,37 (37),2.36E-10,9.37E-08,6.92E-10,1.43E-07
ABC transporters - Homo sapiens (human),KEGG,0,,44 (44),1,1,12,C00077;C00116;C00148;C00245;C00379;C00031;C00025;C00047;C00315;C00041;C01835;C00135,123 (123),6.60E-11,3.37E-08,1.61E-09,2.39E-07
Amino acid transport across the plasma membrane,Reactome,0,,31 (31),1,1,8,C00077;C00148;C00245;C00025;C00097;C00041;C00047;C00135,32 (32),6.61E-11,3.37E-08,1.62E-09,2.39E-07
Transport of glucose and other sugars_ bile salts and organic acids_ metal ions and amine compounds,Reactome,0,,98 (101),1,1,10,C00158;C00148;C00366;C00791;C00245;C00097;C00315;C00041;C00047;C00135,78 (83),2.28E-10,9.37E-08,5.30E-09,6.86E-07
Urea cycle and metabolism of arginine_ proline_ glutamate_ aspartate and asparagine,EHMN,1,GLS,105 (107),0.178,1,11,C00077;C00148;C00020;C00025;C00170;C00097;C00315;C00327;C00041;C00047;C00989,125 (125),1.52E-09,4.53E-07,6.24E-09,7.18E-07
tRNA charging,HumanCyc,0,,41 (44),1,1,7,C00148;C00020;C00025;C00097;C00041;C00047;C00135,24 (24),3.55E-10,1.27E-07,8.07E-09,7.78E-07
Class I MHC mediated antigen processing & presentation,Reactome,2,SEC24C;SEC13,208 (224),0.0561,1,7,C00148;C00020;C00025;C00097;C00041;C00047;C00135,35 (35),6.48E-09,1.54E-06,8.27E-09,7.78E-07
Glucose Homeostasis,Wikipathways,0,,0 (0),1,1,6,C00077;C00116;C00031;C00327;C00047;C00135,21 (21),8.50E-09,1.78E-06,8.50E-09,1.78E-06
Amino acid and oligopeptide SLC transporters,Reactome,0,,49 (49),1,1,8,C00077;C00148;C00245;C00025;C00097;C00041;C00047;C00135,45 (45),1.26E-09,4.10E-07,2.71E-08,2.34E-06
Transport of inorganic cations/anions and amino acids/oligopeptides,Reactome,0,,94 (95),1,1,8,C00077;C00148;C00245;C00025;C00097;C00041;C00047;C00135,48 (48),2.17E-09,5.97E-07,4.55E-08,3.63E-06
Amino acid synthesis and interconversion (transamination),Reactome,1,GLS,17 (17),0.0311,1,6,C00077;C00148;C00020;C00197;C00025;C00041,32 (32),1.33E-07,1.83E-05,8.42E-08,6.22E-06
Adaptive Immune System,Reactome,3,SEC24C;EVL;SEC13,558 (608),0.0819,1,7,C00148;C00020;C00025;C00097;C00041;C00047;C00135,48 (48),6.59E-08,1.21E-05,1.08E-07,7.46E-06
Endosomal/Vacuolar pathway,Reactome,0,,12 (12),1,1,6,C00148;C00025;C00097;C00041;C00047;C00135,20 (20),6.10E-09,1.54E-06,1.22E-07,7.86E-06
Proton/oligonucleotide cotransporters,Reactome,0,,4 (4),1,1,6,C00148;C00025;C00097;C00041;C00047;C00135,21 (21),8.50E-09,1.78E-06,1.66E-07,1.01E-05
Transport of inorganic cations-anions and amino acids-oligopeptides,Wikipathways,0,,0 (0),1,1,6,C00148;C00025;C00097;C00041;C00047;C00135,31 (32),1.09E-07,1.56E-05,1.09E-07,1.56E-05
&gamma;-glutamyl cycle,HumanCyc,0,,11 (12),1,1,7,C00077;C00148;C00025;C00097;C00041;C00047;C00135,43 (47),2.97E-08,5.89E-06,5.44E-07,3.13E-05
Antigen processing-Cross presentation,Reactome,0,,32 (32),1,1,6,C00148;C00025;C00097;C00041;C00047;C00135,29 (29),7.11E-08,1.21E-05,1.24E-06,6.42E-05
leukotriene biosynthesis,HumanCyc,0,,6 (7),1,1,6,C00148;C00025;C00097;C00041;C00047;C00135,29 (30),7.11E-08,1.21E-05,1.24E-06,6.42E-05
