"","ID","description","type","healthy.mean.....std.dev","sick.mean.....std.dev","mean.sick_mean.healthy","group_p.values","group_adjusted.p.values","group_q.values"
"1","C00379","xylitol","metabolite","579 +/- 300","880 +/- 410",1.52,0.00328545050468262,0.0361722723945709,0.0159161803445209
"2","C00385","xanthine","metabolite","574 +/- 350","1670 +/- 1500",2.91,0.00039090476261604,0.013030158753868,0.00607284567246352
"3","C00105 ","uridine-5'-monophosphate","metabolite","120 +/- 55","131 +/- 87",1.08,0.610200483328374,0.729045221914476,0.357776810754231
"4","C00299","uridine","metabolite","1990 +/- 1100","1550 +/- 1300",0.78,0.18894602157576,0.374150537773782,0.171821768581724
"5","C00366","uric acid","metabolite","2960 +/- 2100","4150 +/- 1900",1.4,0.0366106802463671,0.124104000835143,0.0592287600595077
"6","C00086","urea","metabolite","104000 +/- 42000","98900 +/- 38000",0.95,0.669390202042164,0.773861505251056,0.379317299747421
"7","C00106","uracil","metabolite","16300 +/- 11000","24700 +/- 17000",1.52,0.0334733584315987,0.123975401598514,0.0574215010905176
"8","C00082","tyrosine","metabolite","37200 +/- 16000","42700 +/- 17000",1.15,0.225792163316927,0.40320029163737,0.190812415121345
"9","C00078","tryptophan","metabolite","8010 +/- 5800","7120 +/- 3400",0.89,0.502255888686614,0.643647776650811,0.314383605053178
"10","C01083","trehalose","metabolite","3040 +/- 3000","6020 +/- 7200",1.98,0.0536152999524518,0.167444393629659,0.0757129572671398
"11","C01157","trans-4-hydroxyproline","metabolite","394 +/- 120","467 +/- 170",1.18,0.0758355243406092,0.204856156963675,0.0948887416739869
"12","C02477","tocopherol alpha","metabolite","1160 +/- 1400","2600 +/- 1200",2.24,0.000150503421423003,0.00771455795526333,0.0036324624978498
"13","C00178","thymine","metabolite","148 +/- 42","159 +/- 72",1.08,0.474287088571268,0.628097012342116,0.302166723515868
"14","C00188","threonine","metabolite","32400 +/- 9600","34800 +/- 8700",1.08,0.331102583126561,0.50167058049479,0.239100214453653
"15","C01620","threonic acid","metabolite","6560 +/- 2500","6920 +/- 4500",1.06,0.713870260961445,0.803136066730948,0.394577053665743
"16","C00245","taurine","metabolite","93000 +/- 29000","125000 +/- 59000",1.34,0.0142252181612132,0.0812869609212182,0.0387942844063903
"17","D09007","tagatose","metabolite","163 +/- 61","108 +/- 56",0.66,0.00110565990755587,0.023396520705865,0.0101120604656123
"18","C01530","stearic acid","metabolite","246000 +/- 110000","219000 +/- 150000",0.89,0.466703534304084,0.622271379072112,0.29877880335116
"19","C00315","spermidine","metabolite","276 +/- 100","189 +/- 110",0.68,0.00376483482897061,0.0361722723945709,0.016878366812324
"20","C00794","sorbitol","metabolite","454 +/- 470","535 +/- 730",1.18,0.6284298127158,0.73073234036721,0.364568519605175
"21","C00493","shikimic acid","metabolite","292 +/- 130","306 +/- 180",1.05,0.736754854822454,0.81695201055171,0.402139384789744
"22","C00121","ribose","metabolite","726 +/- 620","698 +/- 440",0.96,0.85143234827253,0.883370899047943,0.4373573640815
"23","C00013","pyrophosphate","metabolite","441 +/- 240","461 +/- 260",1.05,0.766763163297035,0.833205495903235,0.411774108279692
"24","C00134","putrescine","metabolite","384 +/- 280","423 +/- 290",1.1,0.619398259889562,0.729045221914476,0.36122167938282
"25","C02067","pseudo uridine","metabolite","925 +/- 300","886 +/- 280",0.96,0.619688438627305,0.729045221914476,0.361329759571424
"26","C00148","proline","metabolite","68200 +/- 38000","94500 +/- 49000",1.39,0.0311610632409306,0.120715763058434,0.0559433595293094
"27","C00408","pipecolic acid","metabolite","224 +/- 50","235 +/- 74",1.05,0.509346910367233,0.643647776650811,0.317413317953474
"28","C00346","phosphoethanolamine","metabolite","13500 +/- 7700","21200 +/- 14000",1.57,0.013411529593671,0.0810371067971812,0.0376724937670257
"29","C00166","phenylpyruvic acid","metabolite","396 +/- 120","433 +/- 97",1.09,0.223180529519009,0.40320029163737,0.189555230532812
"30","C01601","pelargonic acid","metabolite","18800 +/- 8300","13900 +/- 6700",0.74,0.0210762888444018,0.100363280211437,0.0474777261697044
"31","C00864","pantothenic acid","metabolite","1200 +/- 900","975 +/- 340",0.81,0.222687705090258,0.40320029163737,0.189316573834548
"32","C00249","palmitic acid","metabolite","40000 +/- 13000","36300 +/- 19000",0.91,0.410550185349807,0.570208590763622,0.272630754320155
"33","C01879","oxoproline","metabolite","96200 +/- 18000","110000 +/- 33000",1.15,0.0579236291551109,0.169178754049596,0.0793887501329705
"34","C00295","orotic acid","metabolite","186 +/- 140","211 +/- 210",1.13,0.612593773617059,0.729045221914476,0.358676747543567
"35","C00077","ornithine","metabolite","7300 +/- 2900","3910 +/- 2100",0.54,9.43331694404056e-06,0.00188666338880811,0.000900412012641018
"36","D01924","octadecanol","metabolite","1620 +/- 5100","514 +/- 380",0.32,0.266215262893444,0.451212309988888,0.210985145434877
"37","C06424","myristic acid","metabolite","2310 +/- 520","2080 +/- 880",0.9,0.257023581181974,0.443144105486162,0.206552985715321
"38","C00073","methionine","metabolite","9880 +/- 4900","11800 +/- 6100",1.19,0.216498165456674,0.40320029163737,0.186280079508244
"39","C00159","mannose","metabolite","3420 +/- 2000","3290 +/- 2500",0.96,0.830774157508609,0.871885795193779,0.431322821154691
"40","C01835","maltotriose","metabolite","3290 +/- 2200","7370 +/- 9700",2.24,0.0376626546976765,0.125542182325588,0.059915133632047
"41","C00208","maltose","metabolite","2390 +/- 2200","4590 +/- 5400",1.92,0.0544194279296391,0.167444393629659,0.0764158574242376
"42","C07272","maleimide","metabolite","626 +/- 330","644 +/- 370",1.03,0.856869772076505,0.883370899047943,0.438924478848032
"43","C00047","lysine","metabolite","24900 +/- 25000","10700 +/- 12000",0.43,0.00996149512009512,0.071153536572108,0.0320594353178956
"44","C01595","linoleic acid","metabolite","1210 +/- 750","1310 +/- 600",1.08,0.615589596542029,0.729045221914476,0.3597997033252
"45","C00123","leucine","metabolite","107000 +/- 47000","125000 +/- 66000",1.16,0.265781453888122,0.451212309988888,0.210778720302186
"46","C02679 ","lauric acid","metabolite","8490 +/- 3500","7000 +/- 2700",0.82,0.086433883256494,0.217685164150831,0.10340021807679
"47","C00328","kynurenine","metabolite","826 +/- 620","759 +/- 740",0.92,0.718806779724198,0.803136066730948,0.39622449068396
"48","C03546","inositol-4-monophosphate","metabolite","302 +/- 130","218 +/- 120",0.72,0.0164080411102474,0.0886921141094456,0.041912480929005
"49","C00137","inositol myo-","metabolite","260000 +/- 85000","260000 +/- 120000",1,0.991599588771298,0.991599588771298,0.475146821165374
"50","C00130","inosine 5'-monophosphate","metabolite","199 +/- 340","625 +/- 790",3.14,0.0130565042625477,0.0810371067971812,0.0371616684439078
"51","C00294","inosine","metabolite","36000 +/- 21000","39500 +/- 18000",1.1,0.505192752792119,0.643647776650811,0.315641667685943
"52","C02043","indole-3-lactate","metabolite","243 +/- 98","293 +/- 180",1.21,0.203395727334973,0.391145629490332,0.179603606846582
"53","C16526","icosenoic acid","metabolite","663 +/- 260","632 +/- 340",0.95,0.7120111208497,0.803136066730948,0.393954280279788
"54","C00262","hypoxanthine","metabolite","45000 +/- 18000","54100 +/- 23000",1.2,0.113813847243337,0.258667834643947,0.123278102847589
"55","C00192","hydroxylamine","metabolite","7640 +/- 2900","6050 +/- 4000",0.79,0.100469887508766,0.239214017878015,0.113797249879282
"56","C00135","histidine","metabolite","6550 +/- 3400","4720 +/- 1700",0.72,0.0157996448519427,0.087775804733015,0.0410838025555293
"57","C00160","glycolic acid","metabolite","1360 +/- 390","1250 +/- 580",0.92,0.399296554607556,0.562085005266816,0.267264577851748
"58","C00037","glycine","metabolite","338000 +/- 64000","373000 +/- 1e+05",1.11,0.129084938984622,0.283703162603566,0.134305825956803
"59","C00093","glycerol-alpha-phosphate","metabolite","7840 +/- 10000","9120 +/- 6100",1.16,0.580341330408203,0.707733329766101,0.346332919078033
"60","C05401","glycerol-3-galactoside","metabolite","361 +/- 370","695 +/- 1200",1.93,0.161118623692168,0.332203347818903,0.155447545885591
"61","C00116","glycerol","metabolite","22900 +/- 7600","27700 +/- 8200",1.21,0.0270207871502094,0.116240884373239,0.0529215876871668
"62","C00064","glutamine","metabolite","11600 +/- 3000","11800 +/- 3800",1.02,0.770715083710493,0.833205495903235,0.41301985397975
"63","C00025","glutamic acid","metabolite","72900 +/- 18000","96200 +/- 30000",1.32,0.00111252948326934,0.023396520705865,0.0101348246975382
"64","C00191","glucuronic acid","metabolite","229 +/- 110","207 +/- 110",0.9,0.477353729380008,0.628097012342116,0.303527454411203
"65","C00031","glucose","metabolite","335000 +/- 2e+05","144000 +/- 140000",0.43,0.000154291159105267,0.00771455795526333,0.00365064633329483
"66","C00257","gluconic acid","metabolite","502 +/- 580","199 +/- 120",0.4,0.0105176944711578,0.072535823939019,0.0330724274491998
"67","C00446","galactose-6-phosphate","metabolite","221 +/- 110","197 +/- 160",0.89,0.516061954477097,0.643647776650811,0.320257808963803
"68","C00122","fumaric acid","metabolite","4470 +/- 1900","4250 +/- 2100",0.95,0.686705360754177,0.784806126576202,0.385348155828769
"69","C01018","fucose+ rhamnose","metabolite","1150 +/- 730","2500 +/- 2000",2.17,0.00175499678084269,0.024873584628788,0.0116847020661663
"70","C01094","fructose 1 phosphate","metabolite","168 +/- 74","159 +/- 88",0.94,0.675649390425982,0.776608494742508,0.381510979950102
"71","C00095","fructose","metabolite","685 +/- 800","934 +/- 1100",1.36,0.34938837100958,0.525396046630947,0.246143144304717
"72","C00836","dihydrosphingosine","metabolite","341 +/- 150","234 +/- 210",0.69,0.0360026114833942,0.124104000835143,0.0588947333343749
"73","C00112","cytidine-5'-diphosphate","metabolite","5290 +/- 3600","5310 +/- 3900",1,0.984486499102861,0.989433667440062,0.473351796665577
"74","C00097","cysteine","metabolite","5160 +/- 2500","8460 +/- 3400",1.64,0.00015078430404477,0.00771455795526333,0.0036338359417622
"75","C00791","creatinine","metabolite","10800 +/- 4200","15500 +/- 6600",1.44,0.00288081460529995,0.0347878155376343,0.0149745227503144
"76","C00327","citrulline","metabolite","597 +/- 240","401 +/- 180",0.67,0.00162923691829092,0.024873584628788,0.0114506409842931
"77","C00158","citric acid","metabolite","3640 +/- 2000","1930 +/- 1400",0.53,0.000579756071214233,0.0165644591775495,0.00760320297361104
"78","C00187","cholesterol","metabolite","132000 +/- 47000","126000 +/- 48000",0.95,0.62590607396611,0.73073234036721,0.363636828781049
"79","C06423","caprylic acid","metabolite","1470 +/- 530","1080 +/- 490",0.74,0.00734854914898753,0.0565273011460579,0.026584412159079
"80","C01571","capric acid","metabolite","2800 +/- 830","2240 +/- 1100",0.8,0.0363759041820177,0.124104000835143,0.0591006690983508
"81","C06555","biuret","metabolite","269 +/- 180","150 +/- 66",0.56,0.00185532094508146,0.024873584628788,0.0118544519881803
