"","source","target","value","type"
"1",8,12,1,"KEGG"
"2",11,12,1,"KEGG"
"3",3,26,1,"KEGG"
"4",8,26,1,"KEGG"
"5",7,50,1,"KEGG"
"6",12,50,1,"KEGG"
"7",43,52,1,"KEGG"
"8",30,56,1,"KEGG"
"9",8,77,1,"KEGG"
"10",26,82,1,"KEGG"
"11",58,90,1,"KEGG"
"12",60,90,1,"KEGG"
"13",60,92,1,"KEGG"
"213",3,5,0.829268292682927,"Tanimoto"
"423",3,8,0.825,"Tanimoto"
"424",5,8,0.702127659574468,"Tanimoto"
"633",3,11,0.739130434782609,"Tanimoto"
"634",5,11,0.775510204081633,"Tanimoto"
"637",8,11,0.847826086956522,"Tanimoto"
"703",3,12,0.794117647058823,"Tanimoto"
"842",2,14,0.727272727272727,"Tanimoto"
"923",14,15,0.794871794871795,"Tanimoto"
"993",14,16,0.794871794871795,"Tanimoto"
"994",15,16,0.897435897435897,"Tanimoto"
"1053",3,17,0.75,"Tanimoto"
"1054",5,17,0.790697674418605,"Tanimoto"
"1123",3,18,0.82051282051282,"Tanimoto"
"1127",8,18,0.853658536585366,"Tanimoto"
"1130",11,18,0.729166666666667,"Tanimoto"
"1131",12,18,0.72972972972973,"Tanimoto"
"1191",1,19,0.884615384615385,"Tanimoto"
"1261",1,20,0.785714285714286,"Tanimoto"
"1274",15,20,0.72972972972973,"Tanimoto"
"1275",16,20,0.72972972972973,"Tanimoto"
"1278",19,20,0.892857142857143,"Tanimoto"
"1331",1,21,0.785714285714286,"Tanimoto"
"1344",15,21,0.72972972972973,"Tanimoto"
"1345",16,21,0.72972972972973,"Tanimoto"
"1348",19,21,0.892857142857143,"Tanimoto"
"1349",20,21,1,"Tanimoto"
"1483",14,25,0.846153846153846,"Tanimoto"
"1484",15,25,0.948717948717949,"Tanimoto"
"1485",16,25,0.948717948717949,"Tanimoto"
"1543",3,26,0.825,"Tanimoto"
"1544",5,26,0.702127659574468,"Tanimoto"
"1547",8,26,0.733333333333333,"Tanimoto"
"1557",18,26,0.727272727272727,"Tanimoto"
"1693",14,28,0.846153846153846,"Tanimoto"
"1694",15,28,0.948717948717949,"Tanimoto"
"1695",16,28,0.948717948717949,"Tanimoto"
"1702",25,28,1,"Tanimoto"
"1762",13,29,0.702702702702703,"Tanimoto"
"1832",13,29,0.702702702702703,"Tanimoto"
"1846",29,29,1,"Tanimoto"
"1966",7,32,0.808080808080808,"Tanimoto"
"2184",15,36,0.755555555555556,"Tanimoto"
"2185",16,36,0.755555555555556,"Tanimoto"
"2192",25,36,0.8,"Tanimoto"
"2195",28,36,0.8,"Tanimoto"
"2313",3,38,0.702127659574468,"Tanimoto"
"2314",5,38,0.74,"Tanimoto"
