"","name","t.test_p.value","t.test_adjusted.p.value","t.test_q.value","FC.A.C"
"X1","Propylene glycol",0.164881412830391,0.619253978472208,0.28788774182491,0
"X2","Glycolic acid",0.0198760115978473,0.619253978472208,0.28788774182491,3.6
"X3","L-Alanine",0.253768829006344,0.619253978472208,0.28788774182491,2.8
"X4","",0.805517644591721,0.871854391793393,0.405320273715117,0.9
"X5","L-Valine",0.329256577171709,0.619253978472208,0.28788774182491,0
"X6","Urea",0.263544795092355,0.619253978472208,0.28788774182491,0.9
"X7","Benzoic acid",0.329256577171709,0.619253978472208,0.28788774182491,0
"X8","L-Serine",0.205624719892993,0.619253978472208,0.28788774182491,1.7
"X9","Ethanolamine",0.585937463130809,0.792738920706389,0.368539929774745,0.9
"X10","Phosphoric acid",0.939932342558587,0.96206209129645,0.447257333157555,1
"X11","L-Threonine",0.231750325772512,0.619253978472208,0.28788774182491,2.6
"X12","Glycine",0.123976364637514,0.619253978472208,0.28788774182491,1.6
"X13","Succinic acid",0.329256577171709,0.619253978472208,0.28788774182491,0
"X14","Glyceric acid",0.728385365088196,0.84824624795081,0.394344978511868,1.1
"X15","2,4-Dihydroxybutanoic acid",0.768515517290104,0.849001881328481,0.394696268280376,1.1
"X16","(S)-3,4-Dihydroxybutyric acid",0.0497484671907041,0.619253978472208,0.28788774182491,1.9
"X17","3-Aminoisobutanoic acid",0.198594350833866,0.619253978472208,0.28788774182491,6.9
"X18","Aminomalonic acid",0.139796023200647,0.619253978472208,0.28788774182491,6.3
"X19","(2R*,3R*)-1,2,3-Butanetriol",0.329256577171709,0.619253978472208,0.28788774182491,0
"X20","D-Threitol",0.148967215292983,0.619253978472208,0.28788774182491,1.7
"X21","Erythritol",0.348730848839896,0.619253978472208,0.28788774182491,1.6
"X22","Pyroglutamic acid",0.20655427500011,0.619253978472208,0.28788774182491,1.2
"X23","",0.760260252307975,0.849001881328481,0.394696268280376,1.3
"X24","",0.438150043451881,0.639838158691636,0.297457213102767,0.2
"X25","Erythronic acid",0.189274253243826,0.619253978472208,0.28788774182491,1.9
"X26","L-Cysteine",0.60227083056255,0.793505619284379,0.368896363693543,2.3
"X27","Creatinine",0.76296861396891,0.849001881328481,0.394696268280376,0.9
"X28","Threonic acid",0.986866731047075,0.986866731047075,0.458788872675808,1
